pair_a,pair_b,coint_pvalue,coint_score,hedge_ratio,half_life,spread_std,adf_pvalue,adf_stat
USDJPY,GBPCHF,0.1905014784897281,-2.7256151120738457,-1.2154395679625185,196.3833140483009,0.12710055610688348,0.06966996377346578,-2.7258557393471365
GBPUSD,EURCHF,0.19561606493888267,-2.7110881948021235,0.7105635811296318,201.05916764893746,0.07312224814354083,0.07217399669108458,-2.7108823933162234
GBPJPY,GBPAUD,0.19674884571460366,-2.7079038944828286,1.2110624926168516,176.75400561477778,0.09309623822353082,0.07269516045850519,-2.707817977993631
EURGBP,NZDJPY,0.19822648578199925,-2.703767755280692,-0.08751289644057615,136.55466047903022,0.053095645840149204,0.07344395345064055,-2.703445436019908
EURGBP,CADJPY,0.19851574924429205,-2.702960368718497,-0.06573218481979196,139.44970647232165,0.05365113460895412,0.07357570676020485,-2.7026797228994455
EURUSD,NZDCHF,0.19919184110866878,-2.7010761941730324,0.4257334921369519,194.48788394789023,0.07253101414444896,0.07392542760439541,-2.700652491222042
USDCAD,GBPCHF,0.203520510015767,-2.6891079868240335,-0.7921152312095544,198.44113815325775,0.0776258728193133,0.07594005276118476,-2.689119594564486
EURNZD,AUDJPY,0.2038960032779546,-2.688077418164085,0.019959954641159863,189.52363791494753,0.06702810785414504,0.0761848011177821,-2.687735010585139
GBPCHF,CADCHF,0.2041052001259816,-2.6875037812063174,0.7480257491668149,176.3436237350116,0.05558243206733339,0.07627706069575085,-2.687213991555919
GBPUSD,CADCHF,0.20452854808309484,-2.6863440547975337,0.5226768525286419,185.37854459564952,0.07444950244093261,0.07648879604782849,-2.686020129109028
NZDUSD,EURCAD,0.2074255526975317,-2.6784481582437074,-0.9450438715677764,186.86080059238424,0.09889426411910995,0.07785680646093567,-2.67836870731309
EURGBP,EURCAD,0.2081156819709048,-2.6765773948907237,0.28907761993760817,145.97129707008094,0.0514796555872061,0.0782244797675733,-2.6763303064423427
EURUSD,CHFJPY,0.20939641602485765,-2.673115897415551,-0.2724429466527096,186.19676595902047,0.07047323097451993,0.07889749252381806,-2.6726184923940415
GBPAUD,NZDCHF,0.20946116748305288,-2.672941241944982,-0.4454561660749192,206.94542534042435,0.06767090338686035,0.07889144064996295,-2.672651758918346
EURCHF,NZDJPY,0.21021514449125694,-2.670909995221804,-0.555098814516608,141.76425608655424,0.08076233792637443,0.02688104217098174,-3.0955931034401147
GBPJPY,CADJPY,0.21028645943985924,-2.670718104597672,1.1399989177834207,174.64477857710204,0.06407830475482544,0.07921537951264235,-2.6708739071481093
AUDCHF,NZDJPY,0.21052927187366172,-2.6700650606943075,-0.8869906753156883,187.28737606980673,0.13953597219711247,0.07937756190979506,-2.669985952982472
EURCAD,GBPCAD,0.21194756022384525,-2.666259893400647,0.5533740751548112,167.1510128979648,0.04535490446051901,0.08012925692078049,-2.6658888639966425
EURJPY,GBPJPY,0.21443132582827623,-2.6596339465706946,0.8648167837932315,186.52303106749457,0.05050075493009994,0.08122765754398154,-2.659955829118609
GBPUSD,AUDCHF,0.21645688397504698,-2.654265325964349,0.4459806764406264,199.2879070590754,0.06895103432214639,0.08237676088010532,-2.653815651168787
EURGBP,GBPNZD,0.21648597203373826,-2.654188455261262,-0.3270479760543353,138.53708305181473,0.04949497529448172,0.082359849510175,-2.653905530109844
EURGBP,GBPCAD,0.21974052311974834,-2.6456273220697613,-0.44712497857725814,126.39191850229659,0.0454126239858478,0.084025563400418,-2.6451209953987362
EURUSD,CADJPY,0.22038966530835075,-2.6439290272645355,-0.2987672065002286,244.28843369266266,0.08604493895343408,0.0842660196083938,-2.643864118536723
EURNZD,GBPCAD,0.22169947698835868,-2.6405115227167206,0.060077418987569776,196.47712101886157,0.0669375646158415,0.0849769383670621,-2.6401643480106434
NZDJPY,CADJPY,0.2240991449766822,-2.6342820399646723,0.9109586521589574,203.73674855724124,0.06610066131605433,0.08616976456418257,-2.634010279522198
EURAUD,CADJPY,0.22459765552599503,-2.632992984006882,0.32627898921874304,206.47333513360977,0.08258702329432731,0.08639776106136898,-2.632841524856399
NZDCAD,GBPCAD,0.22474211891003826,-2.63261975104833,0.4946366991349781,184.65179382331874,0.05841183196443786,0.10198093925116053,-2.5580506492837305
NZDCAD,CADJPY,0.22701506788376513,-2.626766312172498,-0.0888501885640216,201.52655821698056,0.06616324326202161,0.087630455618122,-2.626563546291218
CADJPY,CADCHF,0.228546568691609,-2.622842104626498,-0.3927597211471389,179.95807067142658,0.09834646517088007,0.08839357419472443,-2.6227112335575353
USDJPY,NZDUSD,0.22890704461857408,-2.6198569087771495,-1.3669205309044614,192.40930722119623,0.11479215133560597,0.08891967101139198,-2.620070373582278
AUDNZD,GBPCAD,0.23404789605911552,-2.606927355630949,-0.6173185097553315,217.6276765126158,0.061432901359986976,0.09159667900263907,-2.606816131517476
USDCAD,GBPAUD,0.23493024166848764,-2.604725149265522,1.010822035760354,206.71106170908283,0.08110209074093824,0.09194259081636669,-2.6051253071804386
GBPJPY,CADCHF,0.23568412984943737,-2.6028474024097874,-0.6451289278974673,213.07065375098475,0.11131582432732821,0.0924017776122889,-2.602888324955192
GBPJPY,NZDCHF,0.235700150556496,-2.6028075371153547,-0.6512997285039486,211.10819543931174,0.11388044020048076,0.0924218901714412,-2.602790539566925
NZDUSD,USDCAD,0.23606429300248127,-2.6019018475033975,-0.7796620482474079,180.14862387479366,0.06117378235628588,0.0926498193611004,-2.601683508875835
GBPNZD,AUDNZD,0.23734436429677663,-2.5987245472952716,0.16553172999007207,194.84316567787363,0.06614593348178863,0.09334576919736065,-2.598316224514436
GBPAUD,AUDNZD,0.24012202417328382,-2.5918642265635747,-0.8355919564236731,194.8141868654208,0.06615380101032388,0.09473872091645624,-2.591633932210415
AUDCHF,CADJPY,0.24455512025915133,-2.5810096669407554,-0.8644188172367698,228.6191585440981,0.14731544696777518,0.09699647317713622,-2.580960809185239
USDCAD,AUDCHF,0.24635317319854744,-2.5766392427482674,-0.6240548531241434,156.11868604992208,0.05264680621283513,0.09805180013487941,-2.5760368085238454
GBPUSD,USDCAD,0.25006742022125095,-2.5676682029503555,-0.7213606757959342,181.99089842075944,0.05655639229052787,0.09996800948445134,-2.56719813723424
NZDCAD,EURCAD,0.25059543152173025,-2.566399011034903,0.49763896850583084,199.08965823275412,0.06032058058648715,0.1002076143327586,-2.566102009987154
EURNZD,EURCAD,0.2516741893321386,-2.563810633576692,0.5046236852505664,199.3448553935466,0.06027589139563284,0.1007728465451877,-2.5635240749234045
GBPNZD,GBPCAD,0.2534676112923048,-2.559521177679848,0.5071003308834413,182.12251639048858,0.05834070880230579,0.10173100462367435,-2.5591789712202266
AUDJPY,GBPCAD,0.2567412786477528,-2.551734575932006,0.2847361892613243,194.42618521114295,0.09316640037233544,0.10350673705923119,-2.5512074185608893
EURAUD,AUDNZD,0.25759781620367245,-2.5497063134535622,-0.8385756284748754,203.7072194101077,0.06599588807362224,0.10388425872827373,-2.549525985253783
EURCHF,AUDJPY,0.2589283896036433,-2.5465628735558536,-0.3940851841578034,226.5617012177443,0.0985803164628078,0.09051104341197636,-2.612154828283246
EURNZD,NZDCAD,0.25905199141180313,-2.5462713174714726,-0.6219696170981693,194.44702613507295,0.052582228019226705,0.10471022911574296,-2.545863212571371
GBPJPY,AUDCHF,0.26244140664676696,-2.538305592973745,-0.5302699369760044,217.1627193244933,0.10895330141971653,0.10643119771626319,-2.5383008384675154
AUDUSD,NZDJPY,0.2672133088588844,-2.5271843716675977,-0.6949962547534086,224.6655512861012,0.1363939884934902,0.10901040488642466,-2.5271371031175485
GBPUSD,AUDNZD,0.26752819457340193,-2.5264542619871966,0.8608929016321212,226.0084780059792,0.08326489912767013,0.10921785970036552,-2.5262477871380526
NZDUSD,GBPJPY,0.2679236664436917,-2.525537948352357,-0.38198635658644525,221.24898656734914,0.09897947731318861,0.10942621292150584,-2.525355889365825
EURGBP,GBPAUD,0.2700018275887974,-2.52073456346448,-0.17854533810827503,145.9021779254725,0.051702359061098435,0.09421239619373944,-2.594149929056451
EURGBP,GBPJPY,0.2762724917308522,-2.506357277273092,-0.13501522674707622,143.0859101601676,0.05056986999653432,0.11405813733761527,-2.505847096179779
NZDUSD,CADJPY,0.2768845264267259,-2.504963137695352,-0.4621981201870903,213.19586554231435,0.10044529741547471,0.11431115797401925,-2.504798504881332
EURNZD,AUDNZD,0.2769881002429953,-2.5047273665184435,0.1624642279316297,209.2158444983679,0.06597720773964044,0.11442442956081927,-2.50432963172255
AUDUSD,EURJPY,0.28320697438755515,-2.4906526693314923,-0.7702183613333464,230.8571442204117,0.12307897842629811,0.11778037336553515,-2.4905913215698074
EURUSD,GBPNZD,0.2856709056070329,-2.4851195460452744,-0.03247197164963444,308.91650585406796,0.09238368235481303,0.13075914763528818,-2.4400160134075524
EURUSD,NZDCAD,0.28657533917634115,-2.4830944979805394,-0.36151067676838883,246.82292265507579,0.08918834796287861,0.11962233332196864,-2.4831731897769074
AUDUSD,GBPAUD,0.29121909502316895,-2.472746500445009,-1.4102013590753295,263.6283229637441,0.0978420171349097,0.12222259791565093,-2.4728426117031113
NZDCAD,CHFJPY,0.2922244814866179,-2.470516826473679,0.04133105694854071,208.1751326593469,0.06630076948922636,0.12289393819594047,-2.4702016227512877
NZDUSD,GBPAUD,0.2929751569291689,-2.468854468215422,-0.8537864798331068,230.57564895293567,0.08279846227563403,0.12327096614659522,-2.4687230510216676
AUDCHF,CHFJPY,0.29378366159992203,-2.4670663597940394,-0.7303850511547091,149.60049216555933,0.07436311775678858,0.027208190741370507,-3.091241399622216
AUDUSD,CHFJPY,0.295085557081203,-2.464192052108027,-0.5742650070262809,222.08877418074945,0.0996777582900333,0.14039554598419834,-2.4047667508074033
GBPUSD,GBPAUD,0.2976195635342897,-2.458614937950039,-0.4107387807997312,265.79852947763345,0.09788420968173686,0.1259108971943229,-2.458461496744755
EURUSD,AUDJPY,0.2999102310721863,-2.4535928524509116,-0.08193399545723515,294.95737064415084,0.09208094370954034,0.12707556295541522,-2.453984104956063
